controller,cell,time_s,pack_current_A,balancing_current_A,cell_current_A,voltage_V,soc,positive_gradient_mol_m3,total_overpotential_V
Electrochemical,Cell 3,2300.0,1.25,-0.25,1.0,3.7603409840336868,0.5385579196217524,536.8127531385387,-0.040114837177794904
Electrochemical,Cell 4,2300.0,1.25,0.25,1.5,3.762520397129172,0.570404040404044,2150.0700204017794,-0.02447190960130888
Electrochemical,Cell 1,2310.0,1.25,0.0,1.25,3.758796907840187,0.5690277777777742,2269.8831338532723,-0.02646898183037254
Electrochemical,Cell 2,2310.0,1.25,0.0,1.25,3.7538793508556982,0.5523752834467133,1668.5185270490438,-0.03011213717819777
Electrochemical,Cell 3,2310.0,1.25,-0.25,1.0,3.7597712182005774,0.537966903073289,543.5203220472263,-0.040116023553634785
Electrochemical,Cell 4,2310.0,1.25,0.25,1.5,3.761170094245215,0.5695622895622932,2192.1519179184934,-0.023930971468057484
Electrochemical,Cell 1,2320.0,1.25,0.0,1.25,3.7586151264007466,0.5683333333333298,2242.9923804419277,-0.02693714074925018
Electrochemical,Cell 2,2320.0,1.25,0.0,1.25,3.7531771676751355,0.551666666666668,1675.0355196564306,-0.030111136884811346
Electrochemical,Cell 3,2320.0,1.25,-0.25,1.0,3.759204642184036,0.5373758865248256,550.0372830453887,-0.0401172465764262
Electrochemical,Cell 4,2320.0,1.25,0.25,1.5,3.7598881331397283,0.5687205387205423,2232.078109974627,-0.023457418345656792
Electrochemical,Cell 1,2330.0,1.25,0.0,1.25,3.758376258514182,0.5676388888888854,2217.7722632172745,-0.02734641011738105
Electrochemical,Cell 2,2330.0,1.25,0.0,1.25,3.7524761405266482,0.5509580498866227,1681.3670799842184,-0.030110173718008077
Electrochemical,Cell 3,2330.0,1.25,-0.25,1.0,3.7586412103878537,0.5367848699763622,556.3686257369206,-0.040118506269588926
Electrochemical,Cell 4,2330.0,1.25,0.25,1.5,3.758666023215416,0.5678787878787914,2269.9628718502768,-0.023042831817971038
Electrochemical,Cell 1,2340.0,1.25,0.0,1.25,3.7580875651402317,0.5669444444444409,2194.1244211092526,-0.027704155974229473
Electrochemical,Cell 2,2340.0,1.25,0.0,1.25,3.7517761920704684,0.5502494331065774,1687.5185886240251,-0.030109247672932368
Electrochemical,Cell 3,2340.0,1.25,-0.25,1.0,3.7580807592595873,0.5361938534278988,562.520830141352,-0.04011980272818885
Electrochemical,Cell 4,2340.0,1.25,0.25,1.5,3.7574963254857976,0.5670370370370406,2305.9143341805493,-0.022679845768641557
