time_s,pack_voltage_V,minimum_cell_voltage_V,maximum_cell_voltage_V,cell_voltage_spread_V,minimum_cell_soc,maximum_cell_soc,cell_soc_spread
230.0,15.539502237911584,3.8452800739785316,3.9141026551500957,0.06882258117156415,0.6860165484633569,0.7680555555555556,0.08203900709219869
240.0,15.532906187507718,3.84335771856647,3.9124918880794453,0.06913416951297524,0.6845390070921985,0.7666666666666667,0.08212765957446821
250.0,15.526386858343784,3.841435123107029,3.9109127081536097,0.06947758504658053,0.6830614657210401,0.7652777777777778,0.08221631205673774
260.0,15.519936590371207,3.839511317802113,3.9093630009171783,0.06985168311506529,0.6815839243498818,0.763888888888889,0.08230496453900715
270.0,15.513549200009855,3.837585755876995,3.9078410638277172,0.07025530795072221,0.6801063829787234,0.7625000000000001,0.08239361702127668
280.0,15.50721860432418,3.8356579418631185,3.906345229012192,0.07068728714907335,0.678628841607565,0.7611111111111112,0.0824822695035462
290.0,15.500939055785688,3.833727762875731,3.904873811848355,0.07114604897262389,0.6771513002364066,0.7597222222222223,0.08257092198581573
300.0,15.494707305339958,3.831796008450883,3.9034254126300656,0.07162940417918273,0.6756737588652482,0.7583333333333334,0.08265957446808525
310.0,15.488517995713883,3.8298624803772308,3.9019986213438975,0.07213614096666676,0.6741962174940898,0.7569444444444444,0.08274822695035466
320.0,15.482365981463456,3.8279269989557965,3.9005921212794505,0.07266512232365407,0.6727186761229313,0.7555555555555555,0.08283687943262419
330.0,15.476247494475293,3.8259907641830355,3.8992046682845514,0.07321390410151585,0.671241134751773,0.7541666666666667,0.0829255319148936
340.0,15.470163571739931,3.8240562152173956,3.897835138215956,0.07377892299856059,0.6697635933806146,0.7527777777777778,0.08301418439716313
350.0,15.464107638969196,3.8221225499335043,3.8964823985332604,0.07435984859975608,0.6682860520094562,0.7513888888888889,0.08310283687943265
360.0,15.458075071430414,3.82018970998026,3.895145411868421,0.07495570188816103,0.6668085106382978,0.75,0.08319148936170218
370.0,15.452063862117546,3.8182601075759144,3.8938231905608376,0.0755630829849232,0.6653309692671394,0.7486111111111111,0.0832801418439717
380.0,15.446076449548299,3.81633644425797,3.892514775067394,0.07617833080942393,0.6638534278959811,0.7472222222222222,0.08336879432624111
390.0,15.440106945779057,3.814418326959677,3.891219232107905,0.0768009051482279,0.6623758865248227,0.7458333333333333,0.08345744680851064
400.0,15.434152326711324,3.812506498033759,3.8899356670979635,0.07742916906420438,0.6608983451536643,0.7444444444444445,0.08354609929078016
410.0,15.42821146508166,3.810603326140203,3.8886632076473697,0.07805988150716692,0.6594208037825059,0.7430555555555556,0.08363475177304969
