cell,time_s,current_A,voltage_V,soc,capacity_ah,contact_resistance_ohm,negative_gradient_mol_m3,positive_gradient_mol_m3,negative_overpotential_V,positive_overpotential_V,total_overpotential_V
Cell 3,360.0,2.5,3.82018970998026,0.6668085106382978,4.7,0.022,-454.84264798886215,2739.782371606696,0.049675699061221955,-0.006329588194543325,-0.05600528725576528
Cell 3,370.0,2.5,3.8182601075759144,0.6653309692671394,4.7,0.022,-454.8932808542704,2769.9859414237217,0.04965426083354858,-0.006329276486946839,-0.05598353732049542
Cell 3,380.0,2.5,3.81633644425797,0.6638534278959811,4.7,0.022,-454.9153033342045,2799.279313822568,0.0496330897044455,-0.006328992393690263,-0.05596208209813576
Cell 3,390.0,2.5,3.814418326959677,0.6623758865248227,4.7,0.022,-454.94055188419225,2827.762430108083,0.04961217359216158,-0.0063287349222126065,-0.05594090851437419
Cell 3,400.0,2.5,3.812506498033759,0.6608983451536643,4.7,0.022,-454.9828849816149,2855.486292649952,0.04959150755424673,-0.006328503403302724,-0.055920010957549456
Cell 3,410.0,2.5,3.810603326140203,0.6594208037825059,4.7,0.022,-455.02528085710946,2882.431366810859,0.04957109653265144,-0.006328297457927667,-0.0558993939905791
Cell 3,420.0,2.5,3.8087106517356597,0.6579432624113475,4.7,0.022,-455.06037044486584,2908.5990508809155,0.04955094225227804,-0.006328116621746538,-0.05587905887402458
Cell 3,430.0,2.5,3.8068293463868517,0.6564657210401892,4.7,0.022,-455.09838039706665,2934.0295019358564,0.049531041005515204,-0.0063279603427204645,-0.05585900134823567
Cell 3,440.0,2.5,3.804960801846753,0.6549881796690308,4.7,0.022,-455.13869664070444,2958.7372543643214,0.04951139256398663,-0.006327828174548138,-0.05583922073853477
Cell 3,450.0,2.5,3.8031061280674217,0.6535106382978724,4.7,0.022,-455.17954101136274,2982.7443180002374,0.04949199583967015,-0.006327719675453742,-0.055819715515123894
Cell 3,460.0,2.5,3.8012665165014115,0.652033096926714,4.7,0.022,-455.21850763729526,3006.0648026927884,0.049472850609550166,-0.00632763444279184,-0.055800485052342
Cell 3,470.0,2.5,3.799443119728725,0.6505555555555556,4.7,0.022,-455.2523931318792,3028.7093551173202,0.04945395698830053,-0.006327572092870565,-0.055781529081171094
Cell 3,480.0,2.5,3.7976369510059764,0.6490780141843971,4.7,0.022,-455.27705278171925,3050.6888662845413,0.04943531501605776,-0.006327532252026933,-0.05576284726808469
Cell 3,490.0,2.5,3.7958483855435254,0.6476004728132388,4.7,0.022,-455.2992211196579,3072.035827186053,0.04941692188739761,-0.0063275145547994635,-0.05574443644219707
Cell 3,500.0,2.5,3.794078066792161,0.6461229314420804,4.7,0.022,-455.3164757306258,3092.765105216975,0.049398777100805924,-0.006327518672018737,-0.05572629577282466
Cell 3,510.0,2.5,3.792326404763234,0.644645390070922,4.7,0.022,-455.3281698015744,3112.8954801179643,0.049380879628711155,-0.006327544292333912,-0.05570842392104507
Cell 3,520.0,2.5,3.7905935720245707,0.6431678486997636,4.7,0.022,-455.3355019173505,3132.4498675993564,0.049363227929909756,-0.006327591129139226,-0.055690819059048983
Cell 3,530.0,2.5,3.7888800680571078,0.6416903073286052,4.7,0.022,-455.3368841531301,3151.432206540023,0.049345822440899176,-0.0063276588953498185,-0.055673481336249
