time_s,voltage_V,current_A,cell
800.0,3.503451603216381,5.0,B
810.0,3.5014950184781037,5.0,B
820.0,3.499510809157785,5.0,B
830.0,3.497497449915528,5.0,B
840.0,3.495453414789166,5.0,B
850.0,3.4933772130823235,5.0,B
860.0,3.491267378305565,5.0,B
870.0,3.489122466336238,5.0,B
880.0,3.4869410946198682,5.0,B
890.0,3.484722016190473,5.0,B
900.0,3.482463978171616,5.0,B
910.0,3.480165846262263,5.0,B
920.0,3.477826608879243,5.0,B
930.0,3.475445389606214,5.0,B
940.0,3.4730214889642306,5.0,B
950.0,3.470554436351165,5.0,B
960.0,3.468043829575887,5.0,B
970.0,3.465489530499627,5.0,B
980.0,3.4628916295141434,5.0,B
990.0,3.4602504619749013,5.0,B
1000.0,3.4575666774435163,5.0,B
1010.0,3.4548411629311966,5.0,B
1020.0,3.4520750457271756,5.0,B
1030.0,3.449269769448235,5.0,B
1040.0,3.44642706811205,5.0,B
1050.0,3.443548964630137,5.0,B
1060.0,3.440637838706458,5.0,B
1070.0,3.437696236432397,5.0,B
1080.0,3.434726995770264,5.0,B
1090.0,3.431733195186422,5.0,B
1100.0,3.428718125767839,5.0,B
1110.0,3.4256852775808184,5.0,B
1120.0,3.42263831567673,5.0,B
1130.0,3.4195809580001657,5.0,B
1140.0,3.4165170265395357,5.0,B
1150.0,3.4134503791382276,5.0,B
1160.0,3.4103848678025828,5.0,B
1170.0,3.4073243046681845,5.0,B
1180.0,3.404272418142675,5.0,B
1190.0,3.4012329864329,5.0,B
1200.0,3.3982091438679976,5.0,B
1210.0,3.39520418702642,5.0,B
1220.0,3.3922210949347917,5.0,B
1230.0,3.389262627604583,5.0,B
1240.0,3.3863312046701872,5.0,B
1250.0,3.383428981244952,5.0,B
1260.0,3.380557789939221,5.0,B
1270.0,3.3777191078012656,5.0,B
1280.0,3.3749140196201384,5.0,B
1290.0,3.3721433659684505,5.0,B
1300.0,3.369407595678287,5.0,B
1310.0,3.366706752852907,5.0,B
1320.0,3.364040573866385,5.0,B
1330.0,3.3614084827725232,5.0,B
1340.0,3.3588095303597623,5.0,B
1350.0,3.356242342571488,5.0,B
1360.0,3.353705334983727,5.0,B
1370.0,3.351196529278639,5.0,B
1380.0,3.348713551151675,5.0,B
1390.0,3.3462536703282306,5.0,B
1400.0,3.343813868632412,5.0,B
1410.0,3.341390703393089,5.0,B
1420.0,3.338980324131042,5.0,B
1430.0,3.3365784444925377,5.0,B
1440.0,3.3341803075856515,5.0,B
1450.0,3.331780644191604,5.0,B
1460.0,3.3293736113803325,5.0,B
1470.0,3.326952685521498,5.0,B
1480.0,3.324510785664809,5.0,B
1490.0,3.322040015983418,5.0,B
1500.0,3.3195316412391613,5.0,B
1510.0,3.3169759982888585,5.0,B
1520.0,3.3143624017542783,5.0,B
1530.0,3.3116790458510974,5.0,B
1540.0,3.3089129053152675,5.0,B
1550.0,3.3060496267351995,5.0,B
1560.0,3.303073472459445,5.0,B
1570.0,3.299967228170022,5.0,B
1580.0,3.296712159246006,5.0,B
1590.0,3.2932880055644906,5.0,B
1600.0,3.2896730259467235,5.0,B
1610.0,3.285844111220014,5.0,B
1620.0,3.2817769846716063,5.0,B
1630.0,3.2774465229287584,5.0,B
1640.0,3.2728271712740984,5.0,B
1650.0,3.2678935129829227,5.0,B
1660.0,3.2626210307236674,5.0,B
1670.0,3.256986987961131,5.0,B
1680.0,3.250971465824551,5.0,B
1690.0,3.2445585133404333,5.0,B
1700.0,3.2377373566362064,5.0,B
1710.0,3.230503591782399,5.0,B
1720.0,3.2228602621860634,5.0,B
1730.0,3.2148186355100705,5.0,B
1740.0,3.206398702419654,5.0,B
1750.0,3.1976291332469535,5.0,B
1760.0,3.188546678278795,5.0,B
1770.0,3.179194961695175,5.0,B
1780.0,3.1696227730506052,5.0,B
1790.0,3.1598815728140135,5.0,B
1800.0,3.150023086675714,5.0,B
1810.0,3.1400965846906437,5.0,B
1820.0,3.130146234023707,5.0,B
1830.0,3.1202087074208906,5.0,B
1840.0,3.11031136755427,5.0,B
1850.0,3.1004709306400997,5.0,B
1860.0,3.090692730243013,5.0,B
1870.0,3.080970529084702,5.0,B
1880.0,3.071286777838903,5.0,B
1890.0,3.061613252469094,5.0,B
1900.0,3.0519119456545067,5.0,B
1910.0,3.0421359348365637,5.0,B
1920.0,3.0322303414494827,5.0,B
1930.0,3.0221331722404683,5.0,B
1940.0,3.0117760111154768,5.0,B
1950.0,3.001084525850138,5.0,B
1960.0,2.989978772800212,5.0,B
1970.0,2.9783732968195755,5.0,B
1980.0,2.96617700949482,5.0,B
1990.0,2.9532929141748383,5.0,B
2000.0,2.9396177470706073,5.0,B
2010.0,2.9250412321868207,5.0,B
2020.0,2.9094453662225077,5.0,B
2030.0,2.8927035198831677,5.0,B
2040.0,2.874679407750513,5.0,B
2050.0,2.8552259290290634,5.0,B
2060.0,2.8341838779617317,5.0,B
2070.0,2.811380519238176,5.0,B
2080.0,2.7866280011857656,5.0,B
2090.0,2.759721629664158,5.0,B
2100.0,2.7304380880517236,5.0,B
2110.0,2.698533220696807,5.0,B
2120.0,2.6637397874913162,5.0,B
2130.0,2.6257649306874917,5.0,B
2140.0,2.584287365234495,5.0,B
2150.0,2.538954247405306,5.0,B
2157.929724024593,2.5000100583457194,5.0,B
