time_s,current_A,voltage_V,soc,negative_particle_average_mol_m3,negative_particle_surface_mol_m3,negative_surface_minus_average_mol_m3,positive_particle_average_mol_m3,positive_particle_surface_mol_m3,positive_surface_minus_average_mol_m3,negative_overpotential_V,positive_overpotential_V,total_overpotential_V
2620.0,2.5,3.551223212880662,0.35277777777777825,11780.228232719162,11324.863515911227,-455.3647168079351,38855.10447000862,42462.82340882815,3607.718938819533,0.05072091969775582,-0.006741247212072735,-0.057462166909828555
2630.0,2.5,3.550129257073394,0.3513888888888893,11740.745465669657,11285.38077372236,-455.3646919472976,38902.02408942433,42515.023496605696,3612.9994071813635,0.050753632872646504,-0.006745617438384288,-0.05749925031103079
2640.0,2.5,3.5490271276743965,0.3500000000000005,11701.262704142839,11245.89802820477,-455.3646759380681,38949.027099404004,42567.17061878021,3618.143519376208,0.05078665928058159,-0.0067500126156446235,-0.057536671896226216
2650.0,2.5,3.547916655285262,0.34861111111111154,11661.77994747958,11206.415279756047,-455.36466772353197,38996.11410300765,42619.26429965582,3623.1501966481737,0.05082000068797245,-0.006754432763874091,-0.05757443345184654
2660.0,2.5,3.546797762227853,0.3472222222222227,11622.297186159756,11166.932534118521,-455.3646520412349,39043.29381051423,42671.29766853318,3628.0038580189503,0.05085365888033261,-0.006758877354620321,-0.05761253623495293
2670.0,2.5,3.545670284098622,0.34583333333333377,11582.81442018337,11127.449791292187,-455.3646288911823,39090.56622192375,42723.27072541227,3632.704503488523,0.05088763567195994,-0.006763346437166905,-0.05765098210912684
2680.0,2.5,3.544534050113472,0.34444444444444494,11543.331650084889,11087.967050954487,-455.364599130402,39137.930027663446,42775.18444040484,3637.254412741393,0.050921932901756076,-0.006767840145635032,-0.057689773047391105
2690.0,2.5,3.5433886206063243,0.343055555555556,11503.848887736725,11048.484305940092,-455.3645817966335,39185.356137606796,42827.060363037934,3641.704225431138,0.05095655243930814,-0.00677236041611405,-0.05772891285542219
2700.0,2.5,3.5422340453574996,0.3416666666666672,11464.366125258766,11009.001561004867,-455.3645642538995,39232.86385983686,42878.88419017477,3646.0203303379094,0.05099149616881717,-0.006776906080026421,-0.057768402248843595
2710.0,2.5,3.5410701900611645,0.34027777777777823,11424.883362651013,10969.518816148813,-455.3645465022,39280.45319435366,42930.65592181541,3650.2027274617503,0.05102676600391166,-0.006781477203499498,-0.05780824320741115
2720.0,2.5,3.5398969292135036,0.3388888888888894,11385.400599913462,10930.036071371931,-455.3645285415314,39328.12414115715,42982.375557959764,3654.2514168026173,0.05106236388387913,-0.006786073853375255,-0.057848437737254385
2730.0,2.5,3.538714044007786,0.33750000000000047,11345.917838136407,10890.553326015968,-455.36451212043903,39375.865793886194,43034.05078399882,3658.184990112626,0.05109829177461795,-0.006790696787013951,-0.0578889885616319
2740.0,2.5,3.537521330302402,0.33611111111111164,11306.435078364115,10851.070579450441,-455.36449891367374,39423.66770642074,43085.68896100515,3662.0212545844115,0.05113455166838892,-0.006795346751300772,-0.05792989841968969
2750.0,2.5,3.53631880015086,0.3347222222222227,11266.952319456634,10811.587832363606,-455.3644870930275,39471.54128200024,43137.28205345232,3665.7407714520814,0.051171145582976106,-0.006800023111291181,-0.057971168694267286
2760.0,2.5,3.5351063692572398,0.33333333333333387,11227.469561413964,10772.105084755452,-455.3644766585112,39519.486520624705,43188.830061340355,3669.3435407156503,0.05120807556388728,-0.006804725949396661,-0.058012801513283946
2770.0,2.5,3.5338839650216434,0.33194444444444493,11187.986804236101,10732.622336625986,-455.36446761011575,39567.50342229412,43240.33298466928,3672.829562375162,0.051245343684108345,-0.006809455348875592,-0.05805479903298394
2780.0,2.5,3.5326513498056693,0.3305555555555561,11148.504047668683,10693.139588128379,-455.36445954030387,39615.572318320555,43291.80415567056,3676.231837350002,0.05128295204434181,-0.006814212630086295,-0.0580971646744281
2790.0,2.5,3.531408541736584,0.32916666666666716,11109.021291805253,10653.656839206315,-455.36445259893844,39663.70044224236,43343.23867115957,3679.538228917205,0.05132090277374289,-0.006818997444486949,-0.05813990021822984
2800.0,2.5,3.530155539264486,0.32777777777777833,11069.538536692127,10614.174089831886,-455.3644468602415,39711.891375013074,43394.63410382134,3682.742728808269,0.05135919803009701,-0.006823809665320026,-0.05818300769541704
2810.0,2.5,3.528892322505363,0.3263888888888894,11030.055782329302,10574.691340005103,-455.36444232419854,39760.14511663266,43445.99045365587,3685.845337023209,0.051397840000227124,-0.006828649390420918,-0.05822648939064804
2820.0,2.5,3.527618852979489,0.32500000000000057,10990.573028569695,10535.208589814658,-455.36443875503755,39808.45787168767,43497.310218148945,3688.8523464612736,0.051436830900348084,-0.006833516956250322,-0.0582703478565984
2830.0,2.5,3.526335001012287,0.32361111111111174,10951.090274793587,10495.725839634244,-455.364435159343,39856.8136489485,43548.60391996648,3691.790271017984,0.051476172976290445,-0.006838413474944712,-0.058314586451235155
2840.0,2.5,3.5250408962924,0.3222222222222228,10911.607521464097,10456.2430891846,-455.3644322794971,39905.22439872926,43599.86369547532,3694.639296746056,0.05151586850486724,-0.006843338313493656,-0.0583592068183609
2850.0,2.5,3.523736580174497,0.32083333333333397,10872.124768581223,10416.760338465721,-455.3644301155018,39953.69012102998,43651.0895446755,3697.3994236455255,0.051555919793394474,-0.0068482915834310485,-0.05840421137682552
2860.0,2.5,3.522422110461923,0.31944444444444503,10832.642016144962,10377.277587477618,-455.3644286673443,40002.21081585061,43702.28146756695,3700.0706517163417,0.051596329180415304,-0.006853273397397379,-0.05844960257781268
2870.0,2.5,3.5210974725229813,0.3180555555555562,10793.159263805655,10337.794836431101,-455.364427374554,40050.77598191807,43753.4462210368,3702.670239118728,0.05163709903594013,-0.006858284533044492,-0.05849538356898462
