cell,time_s,current_A,voltage_V,soc,negative_average_mol_m3,negative_surface_mol_m3,negative_gradient_mol_m3,positive_average_mol_m3,positive_surface_mol_m3,positive_gradient_mol_m3,negative_overpotential_V,positive_overpotential_V,total_overpotential_V
B,670.0,5.0,3.6311881948622786,0.513888888888889,16109.885274384718,15726.998479821425,-382.88679456329373,33552.68242991218,36418.58212885763,2865.8996989454536,0.0784914573986861,-0.012710673217509542,-0.09120213061619564
B,680.0,5.0,3.620980438565096,0.5111111111111112,16064.445752892623,15573.475276674511,-490.9704762181118,33611.257520916006,36857.92710310528,3246.6695821892718,0.0785154993608259,-0.012739414981473452,-0.09125491434229935
B,690.0,5.0,3.6136523884545824,0.5083333333333334,16016.709394318905,15449.084772949584,-567.6246213693212,33670.853999313105,37188.3215909677,3517.4675916545966,0.0785379575553217,-0.012762808014043454,-0.09130076556936514
B,700.0,5.0,3.6077840465699667,0.5055555555555556,15966.386475100091,15338.406063822908,-627.9804112771835,33731.32100425496,37463.38347130244,3732.062467047479,0.0785601889359123,-0.012783467656898344,-0.09134365659281064
B,710.0,5.0,3.602798836059569,0.5027777777777779,15913.086078004435,15235.892598121738,-677.1934798826969,33792.56697740477,37705.084542698096,3912.517565293325,0.07858267516055643,-0.012802522620997217,-0.09138519778155366
B,720.0,5.0,3.598406897412055,0.5000000000000001,15856.6078605443,15138.79906627794,-717.8087942663606,33854.529160362115,37924.522152910016,4069.992992547901,0.07860565820053891,-0.012820561910741749,-0.09142622011128067
B,730.0,5.0,3.5944471127477793,0.49722222222222234,15796.99346683759,15045.592728392308,-751.4007384452816,33917.16174516453,38127.79785313727,4210.636107972743,0.0786292687703401,-0.012837908223410927,-0.09146717699375102
B,740.0,5.0,3.59081609855963,0.4944444444444446,15734.464968357841,14955.26571033111,-779.1992580267306,33980.429030053296,38318.82816128339,4338.399131230093,0.07865360123648013,-0.012854773307172954,-0.09150837454365308
B,750.0,5.0,3.587443534331542,0.4916666666666668,15669.332830462856,14867.137241984101,-802.1955884787549,34044.30217793734,38500.271533592,4455.969355654663,0.07867872287052037,-0.012871303501665475,-0.09155002637218584
B,760.0,5.0,3.5842802957576536,0.48888888888888904,15601.931005925357,14780.728023266729,-821.2029826586277,34108.75748082833,38673.95892478366,4565.201443955331,0.07870468376072452,-0.01288759906382161,-0.09159228282454614
B,770.0,5.0,3.5812906847337675,0.48611111111111127,15532.589789875448,14695.691078576381,-836.8987112990671,34173.77528431678,38841.19569422048,4667.4204099037015,0.07873152203321752,-0.012903730390166051,-0.09163525242338358
B,780.0,5.0,3.5784473488911015,0.4833333333333335,15461.61279227355,14611.76184675354,-849.850945520011,34239.339123626894,39002.971062520555,4763.631938893661,0.07875926981175198,-0.012919750964115982,-0.09167902077586795
B,790.0,5.0,3.575728401029275,0.48055555555555574,15389.264555171292,14528.728206050806,-860.5363491204862,34305.4351768537,39160.07632407158,4854.641147217881,0.0787879571149908,-0.012935704769355131,-0.09172366188434593
B,800.0,5.0,3.5731162320157734,0.47777777777777797,15315.771166074517,14446.420920750248,-869.350245324269,34372.05205961077,39313.14248865939,4941.090429048621,0.07881761117242868,-0.012951627329653085,-0.09176923850208177
B,810.0,5.0,3.570596482301944,0.4750000000000002,15241.326431270722,14364.704559301812,-876.6218719689095,34439.18064266625,39462.67770550454,5023.497062838287,0.07884825655229191,-0.01296754747463996,-0.09181580402693187
B,820.0,5.0,3.568157497155151,0.47222222222222243,15166.093342597258,14283.473637633771,-882.6197049634866,34506.813970988485,39609.08235790258,5102.2683869140965,0.07887991410551508,-0.012983487318291893,-0.09186340142380697
B,830.0,5.0,3.565789115123091,0.46944444444444466,15090.21122723532,14202.637005262548,-887.5742219727726,34574.94685160451,39752.71017307035,5177.763321465842,0.07891260514346611,-0.012999467711452464,-0.09191207285491858
B,840.0,5.0,3.5634835400520513,0.4666666666666669,15013.788493892042,14122.133894207745,-891.654599684296,34643.57620035134,39893.80443209943,5250.228231748093,0.07894634351906353,-0.013015500277085217,-0.09196184379614875
B,850.0,5.0,3.561233155013392,0.46388888888888913,14936.921614301842,14041.900962579695,-895.0206517221468,34712.70007716231,40032.62661163577,5319.9265344734595,0.07898114792774141,-0.01303160112158087,-0.09201274904932229
B,860.0,5.0,3.5590316703377765,0.46111111111111136,14859.68865402933,13961.891266911989,-897.7973871173417,34782.31789299985,40169.37963867213,5387.061745672283,0.07901703345149025,-0.01304778183873238,-0.09206481529022263
B,870.0,5.0,3.5568732973257844,0.4583333333333336,14782.1556343657,13882.062154481426,-900.0934798842736,34852.430104974126,40304.2554974187,5451.825392444574,0.07905401605956354,-0.013064054596426497,-0.09211807065599004
B,880.0,5.0,3.5547534320368186,0.4555555555555558,14704.367720896596,13802.387743712956,-901.9799771836406,34923.03864135438,40437.387391204276,5514.348749849894,0.0790921062460547,-0.01308042605164993,-0.09217253229770463
B,890.0,5.0,3.5526670788111763,0.45277777777777806,14626.380275801474,13722.831075751572,-903.5492000499016,34994.144668865505,40568.94873129981,5574.804062434305,0.07913132173487003,-0.01309690917315536,-0.09222823090802539
B,900.0,5.0,3.550610947943579,0.4500000000000003,14548.215331642079,13643.383249885499,-904.83208175658,35065.75176497177,40699.01404927111,5633.262284299337,0.07917166815298918,-0.013113505789553368,-0.09228517394254254
B,910.0,5.0,3.5485810788648857,0.4472222222222225,14469.90847618454,13564.020211421352,-905.888264763189,35137.86202043433,40827.71205797208,5689.850037537748,0.07921315986394534,-0.01313022550286302,-0.09234338536680836
B,920.0,5.0,3.546574257698444,0.44444444444444475,14391.483178105209,13484.72899328164,-906.7541848235687,35210.478251916255,40955.131196596674,5744.65294468042,0.07925580680432279,-0.013147073713582239,-0.09240288051790503
B,930.0,5.0,3.544587600791505,0.441666666666667,14312.957293527168,13405.500562722134,-907.4567308050337,35283.60323503456,41081.345237484085,5797.742002449522,0.07929961767172619,-0.013164054628805636,-0.09246367230053183
