cell,time_s,current_A,voltage_V,soc,negative_average_mol_m3,negative_surface_mol_m3,negative_gradient_mol_m3,positive_average_mol_m3,positive_surface_mol_m3,positive_gradient_mol_m3,negative_overpotential_V,positive_overpotential_V,total_overpotential_V
B,1860.0,2.5,3.585172005553782,0.40833333333333394,13228.927981108787,12773.55582489769,-455.3721562110968,36928.78372342506,40670.875156242866,3742.091432817804,0.0497233523244706,-0.006608059600281502,-0.056331411924752106
B,1870.0,2.5,3.5842927022071787,0.40694444444444505,13189.446801888984,12734.07216117561,-455.3746407133731,36978.26033468689,40721.689135680186,3743.4288009932934,0.04974560733285445,-0.006611409090632207,-0.05635701642348666
B,1880.0,2.5,3.5834118725759065,0.40555555555555617,13149.965466109492,12694.588586802836,-455.3768793066556,37027.74972794157,40772.47896181035,3744.729233868784,0.049768124752047456,-0.006614780726012119,-0.056382905478059575
B,1890.0,2.5,3.582529334211313,0.4041666666666673,13110.483611786181,12655.105331570603,-455.37828021557834,37077.252005253635,40823.24474917387,3745.9927439202365,0.04979090551689289,-0.006618174578783896,-0.056409080095676786
B,1900.0,2.5,3.5816448964581618,0.4027777777777784,13071.00107660662,12615.622492750905,-455.378583855716,37126.767226268035,40873.98706286467,3747.2198365966324,0.049813950649270154,-0.00662159075265747,-0.05643554140192762
B,1910.0,2.5,3.5807583704011323,0.4013888888888895,13031.51766325746,12576.140188652327,-455.3774746051331,37176.295354394606,40924.70626926388,3748.4109148692733,0.04983726117147983,-0.006625029339591532,-0.056462290511071364
B,1920.0,2.5,3.5798695512431404,0.40000000000000063,12992.03354611414,12536.658305781977,-455.37524033216323,37225.836424009074,40975.40368990881,3749.5672658997355,0.04986083825750715,-0.0066284904983862315,-0.05648932875589338
B,1920.0000000000002,0.0,3.6363588799990336,0.40000000000000063,12992.03354611414,12536.658305781977,-455.37524033216323,37225.836424009074,40975.40368990881,3749.5672658997355,0.0,0.0,0.0
B,1930.0,0.0,3.6416434785308485,0.40000000000000063,12968.074540989799,12656.845821589095,-311.228719400704,37257.32662151,40636.570074442396,3379.2434529323946,0.0,0.0,0.0
B,1940.0,0.0,3.644669849890714,0.40000000000000063,12946.389321823142,12697.501382521325,-248.88793930181782,37288.07358175858,40438.66936966284,3150.5957879042617,0.0,0.0,0.0
B,1950.0,0.0,3.6468308872617046,0.40000000000000063,12926.645448414998,12722.910727527862,-203.73472088713606,37318.2293126176,40298.08985634544,2979.8605437278384,0.0,0.0,0.0
B,1960.0,0.0,3.6485372907385587,0.40000000000000063,12908.879031399267,12740.959564518611,-167.91946688065582,37347.87094623338,40187.631722291,2839.760776057621,0.0,0.0,0.0
B,1970.0,0.0,3.64996276654603,0.40000000000000063,12893.182740306966,12754.536132954083,-138.6466073528827,37377.04518627699,40095.743754601186,2718.6985683241946,0.0,0.0,0.0
